source_path,plan_label,beam_number,beam_name,control_point_index,gantry_angle_deg,axial_position_mm,cumulative_meterset_weight,dose_rate_mu_per_min,jaw_x1_mm,jaw_x2_mm,jaw_y1_mm,jaw_y2_mm,delta_gantry_deg,delta_axial_mm,delta_cumulative_meterset_weight,aperture_width_mm,projection_label,projection_pitch,projection_mu_density_proxy,projection_aperture_change,projection_leaf_travel,projection_leaf_travel_mlcx1,projection_leaf_travel_mlcx2
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,41,196.0,-75.435117722,0.094156718964,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.002060609970000002,32.6661,40→41,0.09259223950000006,0.005563668135492069,3.84319465563849,267.218129009613,141.86394098395246,125.35418802566053
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,42,192.0,-75.805486679,0.09616075472134,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.0020040357573399975,36.868300000000005,41→42,0.09259223924999915,0.005410917193419145,11.345983297406978,275.4269710568667,147.4791527951963,127.94781826167042
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,43,188.0,-76.175855637,0.098246177158,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0020854224366600033,37.7765,42→43,0.09259223950000006,0.0056306620509486704,2.4521493510263164,380.3302003511858,217.0103575472973,163.31984280388846
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,44,184.0,-76.546224594,0.10049517565982,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.0022489985018199904,37.6887,43→44,0.09259223924999915,0.006072319127491052,0.23706090464812427,295.93327931098986,153.51610583281285,142.417173478177
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,45,180.0,-76.916593552,0.10277874912,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0022835734601800023,27.821399999999997,44→45,0.09259223950000006,0.006165671854659053,26.641811595884324,503.0162382021224,248.90908918992054,254.10714901220186
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,46,176.0,-77.286962509,0.10498215879,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689570000108,0.0022034096700000033,42.053599999999996,45→46,0.0925922392500027,0.005949228811851904,38.427086641604205,290.5119286225623,139.01273048647676,151.4991981360856
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,47,172.0,-77.657331467,0.10713701202,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0021548532300000034,42.1689,46→47,0.09259223950000006,0.005818125907841342,0.31131118715409395,312.9122932597389,179.6565251021927,133.25576815754619
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,48,168.0,-78.027700424,0.1092522648,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.002115252779999993,32.5202,47→48,0.09259223924999915,0.005711204300526765,26.051589415470602,280.41605009569133,146.34298845947959,134.07306163621175
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,49,164.0,-78.398069382,0.11112999912,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.37036895800000025,0.0018777343200000046,35.2274,48→49,0.09259223950000006,0.005069901997564286,7.3094678739247865,309.98548209863725,148.00916441814752,161.97631768048973
D:\Obsidian\Web Clipper\001_inbox\RTPLAN_57661.dcm,NewPlan,1,Beam1,50,160.0,-78.768438339,0.11300861769,1400.0,-150.0,150.0,-150.0,150.0,-4.0,-0.3703689569999966,0.0018786185699999902,40.016799999999996,49→50,0.09259223924999915,0.005072289495363963,12.931429347627635,453.72809147177395,238.79593126915546,214.93216020261852
